suriany.yani.3,supri.sppinang,Directed,153839,,1
bangg.kanouelietzh,supri.sppinang,Directed,153838,,1
suriany.yani.3,eni.darmayani.98,Directed,156255,,1
suriany.yani.3,defryindry.indry,Directed,156114,,1
suriany.yani.3,bambang.agusworo,Directed,155886,,1
suriany.yani.3,anksiguda.sembiring,Directed,155814,,1
suriany.yani.3,al.r.pratama.750,Directed,155695,,1
suriany.yani.3,risya.harahap,Directed,155679,,1
suriany.yani.3,100030948439158,Directed,154951,,1
suriany.yani.3,juwitajuwita.juwitajuwita.524,Directed,154925,,1
suriany.yani.3,100059259618034,Directed,154826,,1
suriany.yani.3,100070726473115,Directed,154642,,1
suriany.yani.3,syamsul.hasibuan.35,Directed,154504,,1
suriany.yani.3,gerindra.kabun,Directed,154481,,1
suriany.yani.3,100083209870319,Directed,154180,,1
suriany.yani.3,100087409873573,Directed,154016,,1
suriany.yani.3,100089142940561,Directed,153836,,1
suriany.yani.3,100085378195670,Directed,153755,,1
suriany.yani.3,sucie.wahyudipribadi,Directed,153685,,1
suriany.yani.3,sivajuwit.sivajuwita,Directed,153578,,1
suriany.yani.3,samsona.samsona.58,Directed,153410,,1
suriany.yani.3,100085152333018,Directed,152551,,1
suriany.yani.3,100089488513544,Directed,152549,,1
100059259618034,suriany.yani.3,Directed,153930,,1
sunarji.sunarji.169405,suriany.yani.3,Directed,153928,,1
lika.yusnanda,suriany.yani.3,Directed,153927,,1
azwar.kabun,suriany.yani.3,Directed,153926,,1
samsona.samsona.58,suriany.yani.3,Directed,153924,,1
hotmarisi.hutabarat.3,suriany.yani.3,Directed,153923,,1
100070726473115,suriany.yani.3,Directed,153922,,1
100085378195670,suriany.yani.3,Directed,153919,,1
dina.e.moet.1,suriany.yani.3,Directed,153918,,1
anksiguda.sembiring,suriany.yani.3,Directed,153917,,1
defryindry.indry,suriany.yani.3,Directed,153916,,1
100070726473115,mbak.sri.5243817,Directed,156503,,1
100070726473115,erdicandra.erdicandra,Directed,156265,,1
100070726473115,100076468218017,Directed,156131,,1
100070726473115,100058255179682,Directed,156106,,1
100070726473115,darmadi.chanigho,Directed,156066,,1
100070726473115,100015426643029,Directed,156031,,1
100070726473115,100058046343572,Directed,156019,,1
100070726473115,fortuner.fortun.12,Directed,155671,,1
100070726473115,100070229514247,Directed,154755,,1
100070726473115,100090265117394,Directed,154548,,1
100070726473115,ffizon.ffizon,Directed,154446,,1
100070726473115,winson.gultom.90,Directed,154203,,1
100070726473115,100084706526080,Directed,154151,,1
100070726473115,uwo.eko.5,Directed,154109,,1
100070726473115,100087409873573,Directed,153985,,1
100070726473115,100078345064202,Directed,153906,,1
100070726473115,sunarji.sunarji.169405,Directed,153805,,1
100070726473115,100085378195670,Directed,153753,,1
100070726473115,100075583531040,Directed,152590,,1
100070726473115,100073372478412,Directed,152436,,1
100070726473115,amriadi.panjaitan,Directed,152388,,1
warensius.sinaga.9,100070726473115,Directed,156475,,1
100058255179682,100070726473115,Directed,154648,,1
amriadi.panjaitan,100070726473115,Directed,154647,,1
ernafitriawati.erna,100070726473115,Directed,154645,,1
suprianto.pane.3,100070726473115,Directed,154644,,1
mege.gi.9,100070726473115,Directed,154643,,1
100070229514247,100070726473115,Directed,154641,,1
